rgb,ir,width,height,ir_width,ir_height,dx_px,dy_px,shift_px,response,ncc_before,ncc_after,status,reason
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00001.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00001.png,640,512,640,512,0.4133799971401686,-0.11074624779939768,0.42795765378977796,0.19646373353898525,0.3440581481436322,0.3506384893466995,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00091.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00091.png,640,512,640,512,-118.220873894428,-43.18745781199044,125.86235154574501,0.00015014808159321546,0.0563426621426293,-0.020195953763211778,MISALIGNED,large_shift
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00181.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00181.png,640,512,640,512,-26.70494050401959,-12.154909073846909,29.341023532193148,0.009835059056058526,0.1093003972857939,-0.0019305797499629778,MISALIGNED,large_shift
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00272.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00272.png,640,512,640,512,0.5921188272094469,0.2617391781805054,0.6473886799523894,0.1514763263752684,0.3070789880556822,0.3156818720165546,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00362.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00362.png,640,512,640,512,2.894776444914328,0.10144948666561504,2.8965535838951006,0.13481089121196418,0.2999753924989196,0.30222831507571574,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00452.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00452.png,640,512,640,512,-0.38163686211333925,-0.47425661274485265,0.6087413484033568,0.2992574990727007,0.44131427424146,0.4403378268573883,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00543.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00543.png,640,512,640,512,0.8420106197444284,-0.6868487107678334,1.0866200049906274,0.1867128863930702,0.3737643028554138,0.4199601575640962,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00633.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00633.png,640,512,640,512,-6.279495524156687,7.479232812222477,9.765807058166224,-0.00631242822855711,0.35012237866735735,0.20427359663298802,MISALIGNED,large_shift
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00724.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00724.png,640,512,640,512,1.0353544482526331,-0.1997890217813847,1.0544545920715964,0.17704318827018142,0.42416606523114114,0.3733057831389608,ALIGNED,ok
/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/images/train/ir_00814.jpg,/home/biiteam/Storage-4T/biiteam/MCONG/datasets/dronevehicle_twostream/image/train/ir_00814.png,640,512,640,512,0.6821472969700721,-2.8625414045714024,2.942697440724954,0.12998662260361016,0.2736327680464892,0.2265354924264384,ALIGNED,ok
